"Account","Codename","URL","List"
"Andreas-Michael Mrachacz - Direktkandidat der AfD im Bundestagswahlkreis 13","AndreasMrachaczAfD","https://www.facebook.com/112861177710860","AFD_FB_BTW21"
"Denis Henkel","henkel.afd","https://www.facebook.com/101694588374435","AFD_FB_BTW21"
"Detlef Bauer - AfD","DetlefBauerBottrop","https://www.facebook.com/102596551498699","AFD_FB_BTW21"
"David Jenniches","david.jenniches.afd.luebeck","https://www.facebook.com/111474487130939","AFD_FB_BTW21"
"Silvio Wolf","Wahlkreis65","https://www.facebook.com/2187292144934843","AFD_FB_BTW21"
"Danny Meiners","","https://www.facebook.com/103620088343433","AFD_FB_BTW21"
"Gereon Bollmann","BollmannMdB","https://www.facebook.com/134852682088601","AFD_FB_BTW21"
"Boris Malewski","malewski.boris","https://www.facebook.com/102705592038790","AFD_FB_BTW21"
"Dietmar Wagner-Seite","","https://www.facebook.com/1404403249653469","AFD_FB_BTW21"
"Jan Petersen-Brendel","","https://www.facebook.com/105488674372144","AFD_FB_BTW21"
"Alexis Giersch","","https://www.facebook.com/108118728233129","AFD_FB_BTW21"
"Diana Zimmer","zimmerdiana.afd","https://www.facebook.com/107882784822748","AFD_FB_BTW21"
"Achille Demagbo - AfD","","https://www.facebook.com/101695834782527","AFD_FB_BTW21"
"Joachim Wundrak","","https://www.facebook.com/101503271893759","AFD_FB_BTW21"
"Sven Wendorf","Sven.Wendorf.AfD","https://www.facebook.com/105171811863349","AFD_FB_BTW21"
"René Rotzinger M.Sc. - AfD","RotzingerAfD","https://www.facebook.com/105426871818222","AFD_FB_BTW21"
"Meysam Ehtemai","","https://www.facebook.com/102793048506144","AFD_FB_BTW21"
"Lukas Rehm","lukas.rehm.afd","https://www.facebook.com/107415308304985","AFD_FB_BTW21"
"Marco M. Näger - Kreisrat der AfD im Landkreis Breisgau-Hochschwarzwald","MarcoNaegerAfD","https://www.facebook.com/104402945248458","AFD_FB_BTW21"
"Dr. Michael H. Mayer - AfD","mhmayerafd","https://www.facebook.com/106369611638378","AFD_FB_BTW21"
"Michael Hug","","https://www.facebook.com/104513245130055","AFD_FB_BTW21"
"Frank Weber","FrankWeberAfDBwg","https://www.facebook.com/237724040014449","AFD_FB_BTW21"
"Boris Huebner","","https://www.facebook.com/101028418928859","AFD_FB_BTW21"
"Thomas Fetsch AfD","thomas.fetsch.afd","https://www.facebook.com/109227061438834","AFD_FB_BTW21"
"Beate Härig-Dickersbach","beate.haerig.dickersbach","https://www.facebook.com/1770345373276087","AFD_FB_BTW21"
"Friedrich Merz","MerzCDU","https://www.facebook.com/351110122328707","CDU_FB_BTW21"
"Norbert Röttgen","NorbertRoettgen","https://www.facebook.com/358818263101","CDU_FB_BTW21"
"Julia Klöckner","juliakloeckner","https://www.facebook.com/298621020195483","CDU_FB_BTW21"
"Mechthild Heil","MechthildHeil","https://www.facebook.com/216347025147950","CDU_FB_BTW21"
"Jens Spahn","jensspahn","https://www.facebook.com/92576009043","CDU_FB_BTW21"
"Christoph Ploß","christophploss","https://www.facebook.com/266691460417403","CDU_FB_BTW21"
"Gitta Connemann","GittaConnemann","https://www.facebook.com/175211392516482","CDU_FB_BTW21"
"Jan Metzler","unserJanMetzler","https://www.facebook.com/382418695453810","CDU_FB_BTW21"
"Christian Hirte","ChristianHirteMdB","https://www.facebook.com/542605582431001","CDU_FB_BTW21"
"Katja Leikert","leikertkatja","https://www.facebook.com/423800571019823","CDU_FB_BTW21"
"Michael Donth MdB","donth.cdu","https://www.facebook.com/313433438777354","CDU_FB_BTW21"
"Erwin Rüddel","rueddel","https://www.facebook.com/120767057956472","CDU_FB_BTW21"
"Nadine Schön","schoen.nadine","https://www.facebook.com/515908098472177","CDU_FB_BTW21"
"Christian Freiherr von Stetten","christianstetten","https://www.facebook.com/278715157753","CDU_FB_BTW21"
"Christina Stumpp MdB","c.stumpp","https://www.facebook.com/101594052173211","CDU_FB_BTW21"
"Marlon Bröhr","MarlonBroehr","https://www.facebook.com/616736361775586","CDU_FB_BTW21"
"Paul Ziemiak","paulziemiak","https://www.facebook.com/1067821176570031","CDU_FB_BTW21"
"Philipp Amthor","amthor.philipp","https://www.facebook.com/1427167380661053","CDU_FB_BTW21"
"Henning Otte","henningottecducelleuelzen","https://www.facebook.com/263332637458329","CDU_FB_BTW21"
"Hermann Gröhe","groehe","https://www.facebook.com/84534791408","CDU_FB_BTW21"
"Yvonne Magwas","YvonneMagwasVogtland","https://www.facebook.com/185551978642060","CDU_FB_BTW21"
"Silvia Breher","Silvia.Breher.CDU","https://www.facebook.com/549488612106846","CDU_FB_BTW21"
"Patricia Lips","lips.cdu","https://www.facebook.com/438460039847259","CDU_FB_BTW21"
"Josef Oster","josef.oster.bundestag","https://www.facebook.com/1862755217333823","CDU_FB_BTW21"
"Thorsten Frei","ThorstenFreiCDU","https://www.facebook.com/175778159240756","CDU_FB_BTW21"
"Hubert Hüppe","hubert.hueppe","https://www.facebook.com/164514150363925","CDU_FB_BTW21"
"Peter Beyer","peterbeyermdb","https://www.facebook.com/612601668757620","CDU_FB_BTW21"
"Ronja Kemmer","ronja.kemmer","https://www.facebook.com/1569218743292563","CDU_FB_BTW21"
"Klaus-Peter Willsch","klauspeter.willsch","https://www.facebook.com/475303929184653","CDU_FB_BTW21"
"Patrick Schnieder","PatrickSchniederMdB","https://www.facebook.com/511399752215114","CDU_FB_BTW21"
"Dr. Mathias Middelberg, MdB","mathias.middelberg","https://www.facebook.com/497960476919389","CDU_FB_BTW21"
"Patrick Sensburg","patricksensburgcdu","https://www.facebook.com/541863982540824","CDU_FB_BTW21"
"Uwe Feiler","uwefeilermdb","https://www.facebook.com/108826898029","CDU_FB_BTW21"
"Anja Karliczek","anja.karliczek","https://www.facebook.com/327862874003443","CDU_FB_BTW21"
"Thomas Bareiß","thomas.bareiss","https://www.facebook.com/152284468263590","CDU_FB_BTW21"
"Ralph Brinkhaus","ralph.brinkhaus","https://www.facebook.com/586378098123212","CDU_FB_BTW21"
"Thomas Gebhart","gebhart.th","https://www.facebook.com/399610793419033","CDU_FB_BTW21"
"Fritz Güntzler MdB","fguentzler","https://www.facebook.com/621011257931252","CDU_FB_BTW21"
"Astrid Damerow","AstridDamerowCDU","https://www.facebook.com/147870419122960","CDU_FB_BTW21"
"Björn Simon","bjoernsimon.cdu","https://www.facebook.com/536275779902817","CDU_FB_BTW21"
"Marc Biadacz","MBiadacz","https://www.facebook.com/1705704139744126","CDU_FB_BTW21"
"Sepp Müller","SeppMuellerMdB","https://www.facebook.com/152650658523697","CDU_FB_BTW21"
"Jens Lehmann für Leipzig","JensLehmannLeipzig","https://www.facebook.com/1172124759533323","CDU_FB_BTW21"
"Diana Stöcker","stoeckerdiana","https://www.facebook.com/100373758774406","CDU_FB_BTW21"
"Johann Wadephul","johann.wadephul","https://www.facebook.com/1619528691651829","CDU_FB_BTW21"
"Florian Müller","FlorianMuellerCDU","https://www.facebook.com/114018304113787","CDU_FB_BTW21"
"Marcus Weinberg","Marcus.Weinberg","https://www.facebook.com/123608251805","CDU_FB_BTW21"
